source_file,decoded_name,kind,bytes,sha256,width,height,elements,paths,rects,groups,images,text_elements,embedded_image_bytes
#U0423#U043f#U0440#U0430#U0432#U043b#U0435#U043d#U0438#U0435 #U0441#U0442#U0430#U0442#U0443#U0441#U0430#U043c#U0438 #U043e#U0431#U0440#U0430#U0449#U0435#U043d#U0438#U0439.svg,Управление статусами обращений.svg,screen-or-reference,7628391,5f2d64f12a6012ed5e242486362a8dcf29944da19815c92669441e81a29ad3d7,13250,3930,3608,2006,523,131,2,0,3014351
Avatar.svg,Avatar.svg,component-sheet,2143581,afd650914eec9983161b39942ed6928c36c15ab4034eeb58d55c2b68fbdb5f88,620,870,61,13,25,6,1,0,1587989
Bage.svg,Bage.svg,component-sheet,81142,8a60735807cab6ee274e6ed51b311955ab72c9c13204dbc0428b9c38ef7fe9e8,500,1046,98,20,52,12,0,0,0
Buttons.svg,Buttons.svg,component-sheet,600675,0aef5af2452293963f4656edd99d6b150a53176ecaedab136687a03aff1d952a,3872,1240,167,103,63,0,0,0,0
Calendar.svg,Calendar.svg,screen-or-reference,634359,da5c97cd453930458634ec3317452dced33b8de41c418d744bf253ed75af8714,2081,2386,668,177,403,17,0,0,0
Card with button.svg,Card with button.svg,component-sheet,24866,01abde3b045ab0c36160e5e71a829bffc37d2bb3bbafaadac3a04e350b064719,314,230,34,6,6,2,0,0,0
Checkbox.svg,Checkbox.svg,component-sheet,140928,5940aae7086887c9a97365c9027a982f4f09802011a4afe0a961eb07318d9940,1160,1006,150,33,57,29,0,0,0
Colors.svg,Colors.svg,component-sheet,1040959,26f510ea1acbaf0cf3cc9daaae3a6d84b8032b8c4b6beff3e822cc514fb2ebef,2301,1778,179,132,43,1,0,0,0
Cover.svg,Cover.svg,component-sheet,63504,c857eb75fe105238c2a0d222a5dd27fae74006cf6db43488fa4d9bbe77feb612,874,400,12,6,2,1,0,0,0
Dashboard.svg,Dashboard.svg,screen-or-reference,3013142,1cfca3af5e0ad0e0a25bff436a3b4031fda03de9880f3d110b491283bfec10a8,4366,6357,3381,1179,866,133,0,0,0
Date-Picker.svg,Date-Picker.svg,component-sheet,581742,80417fdd69bf2c20853a35f7c94926436ee097ff7db865605e3f09c2562b190f,932,2541,565,346,76,38,0,0,0
Detailed appeals.svg,Detailed appeals.svg,screen-or-reference,912118,f916402a452edfdb7eee603cc75dc8028e6cf7d28eda13d6058ba488b59830e7,873,4163,284,126,69,20,5,0,251437
Documents.svg,Documents.svg,screen-or-reference,1175217,b2be2ccea150ae49fb8363eae648bede428cace071d9783ce30f15c9c338bfdb,700,2269,206,106,39,13,1,0,631416
Drawer.svg,Drawer.svg,component-sheet,38817,a7ff3b75584ad5782bb2e3b2bc6b2dd62baec589c32edb334d619a65dbf49e8e,580,1460,32,11,13,3,0,0,0
Dropdown menu.svg,Dropdown menu.svg,component-sheet,779292,6fee02eaf5634887b12c9c2ef8d68647c80e5eaadf494a9f9967a342e349576b,1339,2257,708,193,200,81,0,0,0
Form constructor.svg,Form constructor.svg,screen-or-reference,262870,516449d1f7780d22ace48ca27dbfdafb558e30919c1f6923570824e27385faec,801,1789,184,122,34,13,0,0,0
Header.svg,Header.svg,component-sheet,4055101,8af415f1b5a499d89b189372837c4a6c584b05471753688550187832ca672392,1528,724,22,8,5,1,1,0,3011909
History of changes.svg,History of changes.svg,screen-or-reference,516630,83d8c9ab89fa7c3677ed6d4105a150f55676bcf732160892b06773d6d4ac0e76,873,1558,84,45,24,2,1,0,12719
Icons.svg,Icons.svg,component-sheet,289218,5199517d51474fbae60642e8afadb484511392a82754022b222cc37de9850c22,874,2125,438,334,72,15,0,0,0
Input Number.svg,Input Number.svg,component-sheet,79176,f75342bb55271b5e52472af96d08c457980ddaf1429d3a5025348a4c562087df,650,1235,112,65,23,6,0,0,0
Link.svg,Link.svg,component-sheet,38579,c60adb9089749de86c423f958ebd53fd4edb20d5e367fcaa0df335114f31119c,401,804,21,13,4,1,0,0,0
Managing appeals.svg,Managing appeals.svg,screen-or-reference,149041,e04dd0e4fc986953be725bb586ab365dc6ee48f3ea35202d2ff56d089c72c512,1456,1020,155,48,13,10,0,0,0
Messages.svg,Messages.svg,screen-or-reference,3006660,b61167bf011d15e5956d409d6746b5440cf4417522f1f14d6d27084bfb4b5357,1504,7405,948,313,228,48,5,0,851171
Modal.svg,Modal.svg,component-sheet,211173,62b0686f4ea17ecb8bb0bf25fe9020ee3a1512728e4271fd6fc734595e2b7fed,794,1496,172,35,33,16,0,0,0
Notification.svg,Notification.svg,component-sheet,203290,47452a53ea7b6b123de3292d0a0deed656d7f3a5dfa138e7577429ed07abbf05,584,1802,143,41,32,13,0,0,0
Pagination (1).svg,Pagination (1).svg,component-sheet,78022,c3e4dc9b115948cf74004205777291ccd9d2278ff1d2d3d46cc10b81b6d39d85,674,1090,66,27,9,5,0,0,0
Pagination (2).svg,Pagination (2).svg,component-sheet,50929,114b2c9cb8207269d6075f957db07b15632967f264e01897fbc05f6d1ad98377,1528,648,41,17,20,1,0,0,0
Pagination.svg,Pagination.svg,component-sheet,126991,e0d0f07efcab4f49faab050489119beea9543c974e838bf7261fd5297ecd95a5,975,1140,101,47,50,1,0,0,0
Planner.svg,Planner.svg,screen-or-reference,4457508,3f23135cbccf6cd8d1054feef90990d94ec647d8ef12de091ee6b76a022f2ed7,3646,6729,3924,970,2325,100,5,0,246635
Popover.svg,Popover.svg,component-sheet,196588,9fc564399a0f1856eb11c494c1620c0676aec2a9248ea4c39abbab97f8c44f26,1072,1165,437,77,40,41,0,0,0
Radio.svg,Radio.svg,component-sheet,101189,3e0bcdebd9aa7c40baa0987ce4d933d251560f02fe10acbace745720b55752dd,1030,838,50,18,16,5,0,0,0
Reports card.svg,Reports card.svg,component-sheet,161506,e28cb879e2a2e577154cfa3caf541de020431ef8ba6e44550ad0e54bddf63c4f,354,810,63,15,10,6,0,0,0
Segment.svg,Segment.svg,component-sheet,263624,66a00e02c28f99bc44f0922256460da50babd7bb8aa664e20b4f368e6511e5e4,1151,1089,322,67,75,26,0,0,0
Select.svg,Select.svg,component-sheet,916695,0d1e2e6661ae600bd9d9b63d6463a6909cb702868a518c1a7d87b3b31f325385,2660,2033,943,266,175,78,0,0,0
Sidebar.svg,Sidebar.svg,component-sheet,195913,92ec7b5992b3f05548f5bb937f856746c4abbd27c675bff3ea37e8ddbdfc96a0,914,1604,136,109,18,1,1,0,2442
Spacing.svg,Spacing.svg,component-sheet,104335,b268d94fd8682745f980feb008125bf35a713efe4324d8b7bce255a04d6db315,800,1277,31,15,12,1,0,0,0
Status.svg,Status.svg,component-sheet,140166,fa0e32fb188e7630fa8a06d566ec1a3d9eea6e1e6cfd8c1a6e8b157cadd5ee1f,700,1462,46,22,20,1,0,0,0
Switch.svg,Switch.svg,component-sheet,106823,aa7373c7d14defcf570cd2ca9222fa334f3070d266eb348d3034bd9fb7b49f57,990,1001,116,18,44,23,0,0,0
Table Cell.svg,Table Cell.svg,component-sheet,235895,07ce2976671d2c74fdd0afb7058a5fe162bbf3ecf8e7c8c7920f160796ba69c5,2580,1626,405,211,61,17,0,0,0
Table.svg,Table.svg,component-sheet,1182510,3d9c6eca8a31a12e1e9de448acf5c28f1e04c6819f04e7bb4cbb7f0d1df2714a,2042,3886,1202,732,138,36,0,0,0
Tabs.svg,Tabs.svg,component-sheet,124413,52a8798c27a5c5525add89120966d2d5a8bf3f845d53e778b22aca12fa0172b8,746,1158,102,73,10,1,0,0,0
Tag.svg,Tag.svg,component-sheet,135521,f94bea181b7233687bab38a3c1d48bcf9b9dba235c1194356558310c49cdf1e4,401,872,35,12,13,1,1,0,62377
Textarea.svg,Textarea.svg,component-sheet,1177739,d11a416e20439d443a97fd96e6b6560f3de478bc6c351e054ce2a71cbfdf20b5,2783,1141,129,89,36,1,0,0,0
Tooltip.svg,Tooltip.svg,component-sheet,75592,dd46298b3f80605a71369e51d3cb71e721958ec4bb13cb66f6a85dd084b22594,572,770,61,21,20,9,0,0,0
shlz_guide_rail_layout.svg,shlz_guide_rail_layout.svg,screen-or-reference,19619,9ba21fa0d71aafa8604c31ad5d241191452885949fd8becec4a858d017e34173,,,196,2,21,1,0,40,0
